Name,Year,Genres
Pressure,2026,History; Thriller; War
Tom Clancy's Jack Ryan: Ghost War,2026,Action; Thriller; Adventure
Is God Is,2026,Drama; Thriller
In the Grey,2026,Action; Thriller
A Marvel Television Special Presentation - The Punisher: One Last Kill,2026,Action; Drama; Crime
"Marty, Life Is Short",2026,Documentary
Remarkably Bright Creatures,2026,Drama; Mystery
Mortal Kombat II,2026,Action; Fantasy; Adventure
Swapped,2026,Adventure; Animation; Drama; Family; Fantasy
Animal Farm,2026,Animation; Comedy; Drama; Family; Science Fiction
Hokum,2026,Horror
Over Your Dead Body,2026,Action; Comedy; Thriller
Buffet Infinity,2026,Comedy; Horror
Apex,2026,Action; Thriller
Michael,2026,Music; Drama
Mile End Kicks,2026,Comedy; Romance; Music; Drama
Lorne,2026,Documentary
Erupcja,2026,Drama; Comedy
Normal,2026,Action; Crime; Thriller
Mother Mary,2026,Drama; Fantasy; Music; Thriller
Lee Cronin's The Mummy,2026,Horror; Mystery
Roommates,2026,Comedy
Faces of Death,2026,Horror
Beast,2026,Action; Drama
"You, Me & Tuscany",2026,Romance; Comedy
The Super Mario Galaxy Movie,2026,Family; Comedy; Adventure; Fantasy; Animation
Mike & Nick & Nick & Alice,2026,Science Fiction; Action; Comedy; Crime
The AI Doc: Or How I Became an Apocaloptimist,2026,Documentary
Forbidden Fruits,2026,Comedy; Horror
The Drama,2026,Romance; Comedy; Drama
They Will Kill You,2026,Action; Comedy; Horror
Fuze,2026,Action; Crime; Drama; Thriller
Ready or Not 2: Here I Come,2026,Horror; Comedy
Project Hail Mary,2026,Science Fiction; Adventure
undertone,2026,Horror; Mystery
Bodycam,2026,Horror
Reminders of Him,2026,Romance; Drama
Louis Theroux: Inside the Manosphere,2026,Documentary
The Good Boy,2026,Thriller; Drama; Mystery; Horror
Peaky Blinders: The Immortal Man,2026,Crime; Drama; War
Hoppers,2026,Adventure; Animation; Comedy
The Bride!,2026,Science Fiction; Horror; Fantasy
In the Blink of an Eye,2026,Drama; Science Fiction
Ghost Elephants,2026,Documentary
Scream 7,2026,Horror; Mystery; Crime
The Bluff,2026,Action; Adventure
Wasteman,2026,Thriller; Crime; Drama
Redux Redux,2026,Science Fiction; Mystery; Thriller
How to Make a Killing,2026,Comedy; Thriller
EPiC: Elvis Presley in Concert,2026,Music; Documentary
Nirvanna the Band the Show the Movie,2026,Science Fiction; Adventure; Comedy
"Good Luck, Have Fun, Don't Die",2026,Science Fiction; Action; Adventure
War Machine,2026,Action; Science Fiction; Thriller
GOAT,2026,Animation; Comedy; Family
Crime 101,2026,Crime; Thriller
"""Wuthering Heights""",2026,Romance; Drama
Kraken,2026,Horror; Action; Thriller
Hamlet,2026,Drama
The Strangers: Chapter 3,2026,Horror; Thriller
Solo Mio,2026,Romance; Comedy
The Moment,2026,Music; Comedy; Thriller
Melania,2026,Documentary
Iron Lung,2026,Horror; Mystery; Science Fiction
Cold Storage,2026,Comedy; Horror; Science Fiction
The Wrecking Crew,2026,Action; Comedy; Crime
Shelter,2026,Action; Crime; Thriller
Skyscraper Live,2026,Adventure
In Cold Light,2026,Thriller; Crime
Send Help,2026,Horror; Thriller; Comedy
Disneyland Handcrafted,2026,Documentary
Clika,2026,Drama; Music
The Wizard of the Kremlin,2026,Drama
Return to Silent Hill,2026,Horror; Mystery
Whistle,2026,Horror; Mystery
Mercy,2026,Science Fiction; Action; Thriller
Silent Friend,2026,Drama
The Rip,2026,Crime; Thriller; Action
28 Years Later: The Bone Temple,2026,Horror; Thriller; Science Fiction
One Last Adventure: The Making of Stranger Things 5,2026,Documentary
Greenland 2: Migration,2026,Action; Adventure; Thriller; Science Fiction
People We Meet on Vacation,2026,Romance; Comedy; Drama
The Dutchman,2026,Drama; Thriller
Wild London,2026,Documentary
We Bury the Dead,2026,Horror; Thriller
Primate,2026,Horror; Thriller
The Testament of Ann Lee,2025,Drama; History; Music
Song Sung Blue,2025,Drama; Music; Romance
The Plague,2025,Drama; Thriller
Anaconda,2025,Adventure; Comedy; Horror
Marty Supreme,2025,Drama
Is This Thing On?,2025,Comedy; Drama
Cover-Up,2025,Documentary
The Housemaid,2025,Mystery; Thriller
Avatar: Fire and Ash,2025,Adventure; Fantasy; Science Fiction
The SpongeBob Movie: Search for SquarePants,2025,Animation; Family; Comedy; Adventure; Fantasy
David,2025,Animation; Family; Drama
Goodbye June,2025,Drama
Dead Man's Wire,2025,Crime; Drama
Atropia,2025,Comedy; Drama
"Silent Night, Deadly Night",2025,Horror; Thriller
Ella McCay,2025,Comedy; Drama
Dust Bunny,2025,Action; Fantasy; Thriller
Merv,2025,Comedy; Romance
Rosemead,2025,Drama
Man Finds Tape,2025,Horror; Mystery; Thriller
Dhurandhar,2025,Action; Thriller
Merrily We Roll Along,2025,Comedy; Music
Five Nights at Freddy's 2,2025,Horror; Thriller
Oh. What. Fun.,2025,Comedy
Father Mother Sister Brother,2025,Comedy; Drama
Fackham Hall,2025,Comedy; History
Zootopia 2,2025,Adventure; Animation; Comedy; Family; Mystery
Wake Up Dead Man: A Knives Out Mystery,2025,Thriller; Mystery; Comedy; Drama
Hamnet,2025,Drama; Romance; History
Eternity,2025,Romance; Comedy; Drama
Jingle Bell Heist,2025,Romance; Crime; Comedy
Zodiac Killer Project,2025,Crime; Documentary
The Age of Disclosure,2025,Documentary
Rental Family,2025,Drama; Comedy
Wicked: For Good,2025,Fantasy; Adventure; Romance
Trap House,2025,Action; Crime; Thriller
Rebuilding,2025,Drama
The Carpenter's Son,2025,Horror
Pose,2025,Thriller
Now You See Me: Now You Don't,2025,Thriller; Crime; Mystery
Keeper,2025,Horror; Mystery
Jay Kelly,2025,Drama; Comedy
The Running Man,2025,Action; Thriller; Science Fiction
The Family Plan 2,2025,Action; Comedy
Being Eddie,2025,Documentary
A Very Jonas Christmas Movie,2025,Comedy; Music
In Your Dreams,2025,Animation; Family; Comedy; Adventure; Fantasy
I Wish You All the Best,2025,Drama; Romance
Dragonfly,2025,Thriller; Drama
The Choral,2025,Comedy; Drama; Music
Sarah's Oil,2025,Drama
Nuremberg,2025,History; Drama
Christy,2025,History; Drama
Train Dreams,2025,Drama
Predator: Badlands,2025,Action; Science Fiction; Adventure
Playdate,2025,Action; Comedy
Violent Ends,2025,Thriller
Pillion,2025,Comedy; Drama; Romance
Joy to the World,2025,Romance; Comedy
Pike River,2025,Drama
Anniversary,2025,Thriller; Drama
Queens of the Dead,2025,Comedy; Horror
Bugonia,2025,Science Fiction; Crime; Thriller
Springsteen: Deliver Me from Nowhere,2025,Drama; Music
Regretting You,2025,Romance; Drama
Hedda,2025,Drama; Thriller
Arco,2025,Animation; Science Fiction; Adventure; Fantasy; Family
Sisu: Road to Revenge,2025,Action; War
The Hand That Rocks the Cradle,2025,Thriller
Vicious,2025,Horror; Thriller
The Twits,2025,Animation; Comedy; Family; Fantasy
The Thing with Feathers,2025,Drama
Stiller & Meara: Nothing Is Lost,2025,Documentary
R.L. Stine's Pumpkinhead,2025,Horror; Fantasy
Frankenstein,2025,Drama; Horror; Fantasy
Blue Moon,2025,Comedy; Drama; History; Music; Romance
Truth & Treason,2025,History; Drama; Thriller
Stitch Head,2025,Animation; Adventure; Family; Comedy
The Mastermind,2025,Crime; Drama
Icefall,2025,Action; Crime; Thriller
The Chronology of Water,2025,Drama
Black Phone 2,2025,Horror; Thriller
Ballad of a Small Player,2025,Crime; Drama; Thriller
Good Fortune,2025,Comedy; Fantasy
The Perfect Neighbor,2025,Documentary; Drama; Thriller
If I Had Legs I'd Kick You,2025,Drama; Thriller; Comedy
Deathstalker,2025,Action; Adventure; Fantasy
Your Host,2025,Horror
The Woman in Cabin 10,2025,Mystery; Drama; Thriller
Who Killed the Montreal Expos?,2025,Documentary
The Last Viking,2025,Comedy; Crime; Drama
Kiss of the Spider Woman,2025,Romance; Music; Drama; Thriller
After the Hunt,2025,Drama
TRON: Ares,2025,Science Fiction; Adventure; Action
Roofman,2025,Comedy; Drama; Crime
Nouvelle Vague,2025,Comedy; Drama; History
Maintenance Required,2025,Romance; Comedy
Die My Love,2025,Drama; Thriller
Urchin,2025,Drama
She Walks in Darkness,2025,Drama; Thriller
Killing Faith,2025,Thriller; Western
Shelby Oaks,2025,Horror; Mystery
A House of Dynamite,2025,War; Thriller
Coyotes,2025,Horror; Comedy
Bone Lake,2025,Horror; Thriller; Mystery
Anemone,2025,Drama
The Smashing Machine,2025,History; Drama
Shell,2025,Drama; Horror; Thriller
Good Boy,2025,Horror; Thriller
Play Dirty,2025,Crime
It Was Just an Accident,2025,Drama; Thriller; Crime
Eleanor the Great,2025,Drama
"Bau, Artist at War",2025,Drama; History; Comedy; Romance
The Astronaut,2025,Horror; Science Fiction; Thriller
The Strangers: Chapter 2,2025,Horror; Thriller
All That's Left of You,2025,Drama
No Other Choice,2025,Crime; Thriller; Comedy
One Battle After Another,2025,Action; Thriller; Crime
Dead of Winter,2025,Action; Thriller
I Swear,2025,Drama; History
Xeno,2025,Adventure; Drama; Mystery; Science Fiction
V/H/S/HALLOWEEN,2025,Horror; Thriller
Steve,2025,Drama; Comedy
Prisoner of War,2025,Action; War; Thriller; History
Predators,2025,Documentary
My Father's Shadow,2025,Drama
The Lost Bus,2025,Drama; Mystery; Thriller
In Whose Name?,2025,Documentary; Music
Chainsaw Man - The Movie: Reze Arc,2025,Animation; Action; Romance; Fantasy
