Name,Year,Genres
Spider-Noir,2026-Present,Drama; Action; Science-Fiction
Stranger Things: Tales from '85,2026-Present,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure
Star Wars: Maul - Shadow Lord,2026-Present,Science-Fiction
Saturday Night Live UK,2026-Present,Comedy
His & Hers,2026,Drama; Crime; Thriller
The Copenhagen Test,2025-Present,Espionage; Science-Fiction; Thriller
The End of an Era,2025,Documentary
Sean Combs: The Reckoning,2025,Documentary; Crime
Pluribus,2025-Present,Drama; Science-Fiction; Thriller
Murdaugh: Death In The Family,2025-Present,Crime; Mini-Series; Thriller
Splinter Cell: Deathwatch,2025-Present,Action & Adventure; Animation
Chad Powers,2025-Present,Comedy; Sports
Wayward,2025,Drama; Mini-Series; Mystery; Thriller
Black Rabbit,2025,Drama; Mini-Series
Task,2025-Present,Crime; Drama
The Paper (2025),2025-Present,Comedy
Long Story Short,2025-Present,Animation; Comedy
Butterfly (2025),2025-Present,Action; Mini-Series; Thriller
Alien: Earth,2025-Present,Drama; Horror; Science Fiction
UNTAMED,2025-Present,Drama; Mystery; Thriller
Ironheart,2025,Action; Adventure; Drama; Fantasy; Science Fiction
Pee-wee as Himself,2025,Documentary
Adolescence,2025,Crime; Drama; Mini-Series; Thriller
SNL50: Beyond Saturday Night,2025,Documentary; Mini-Series
The Pitt,2025-Present,Drama; Medical
The Sticky,2024,Comedy; Crime; Drama
Star Wars: Skeleton Crew,2024-Present,Adventure; Science Fiction
St. Denis Medical,2024-Present,Comedy; Medical
Hysteria! (2024),2024,Drama; Thriller
Nobody Wants This,2024-Present,Comedy
The Penguin,2024,Action; Crime; Mini-Series; Thriller
Agatha All Along,2024,Action; Adventure; Comedy; Fantasy; Mini-Series; Science Fiction
Fight Night: The Million Dollar Heist,2024,Crime; Drama; Mini-Series
The Acolyte,2024,Action; Adventure; Drama; Fantasy; Mystery; Science Fiction; Thriller
Doctor Who (2023),2024-Present,Action; Fantasy; Science Fiction
Fallout,2024-Present,Action; Drama; Science Fiction; War
A Gentleman in Moscow,2024,Drama; Fantasy; History; Mini-Series; Suspense
Shōgun,2024-Present,Action; Adventure; Drama; History; War
Mr. & Mrs. Smith (2024),2024-Present,Action; Comedy; Crime; Drama; Thriller
The Curse,2023-2024,Comedy; Drama
Planet Earth III,2023,Documentary; Mini-Series
Gen V,2023-Present,Action; Drama; Science Fiction
Secret Invasion,2023,Action; Adventure; Drama; Fantasy; Science Fiction; Thriller
